,id,callerID,agentID,complaintTopic,assignedTo,status,resolutionDurationInHours,assigned_calls_to_agent_id
0,1,CALLER_1,163,Billing discrepancy,122,Closed,33.0,122
1,2,CALLER_2,133,Difficulty reaching customer support,133,New,Not provided,133
2,3,CALLER_3,153,Wrong item received,122,Resolved,Not provided,122
3,4,CALLER_4,161,Unauthorized charges,151,Pending,Not provided,151
4,5,CALLER_5,148,Unprofessional behavior,148,New,Not provided,148
5,6,CALLER_6,157,Inadequate product instructions,125,Closed,18.0,125
6,7,CALLER_7,179,Unsatisfactory resolution,125,Resolved,Not provided,125
7,8,CALLER_8,171,Rude customer service representative,171,Pending,Not provided,171
8,9,CALLER_9,161,Website not working,161,New,Not provided,161
9,10,CALLER_10,159,Product damaged during shipping,135,Resolved,Not provided,135
10,11,CALLER_11,147,Inadequate product instructions,133,Closed,18.0,133
11,12,CALLER_12,143,Inaccurate information provided,122,Pending,Not provided,122
12,13,CALLER_13,124,Slow response time,132,Resolved,Not provided,132
13,14,CALLER_14,151,Unsatisfactory resolution,136,Resolved,Not provided,136
14,15,CALLER_15,171,Slow response time,171,New,Not provided,171
15,16,CALLER_16,131,Difficulty getting a refund,169,Pending,Not provided,169
16,17,CALLER_17,179,Long wait time,155,Closed,44.0,155
17,18,CALLER_18,130,Website not working,155,Closed,13.0,155
18,19,CALLER_19,159,Shipping delay,159,Closed,32.0,159
19,20,CALLER_20,131,Misplaced order,131,Closed,44.0,131
20,21,CALLER_21,121,Unprofessional behavior,121,New,Not provided,121
21,22,CALLER_22,121,Refund not processed,133,Resolved,Not provided,133
22,23,CALLER_23,177,Unprofessional behavior,158,New,Not provided,158
23,24,CALLER_24,173,Shipping delay,137,Resolved,Not provided,137
24,25,CALLER_25,162,Package never arrived,162,Closed,17.0,162
25,26,CALLER_26,124,Lack of follow-up,143,New,Not provided,143
26,27,CALLER_27,168,Lack of follow-up,166,Pending,Not provided,166
27,28,CALLER_28,146,Billing discrepancy,133,Pending,Not provided,133
28,29,CALLER_29,151,Product not as described,173,Closed,26.0,173
29,30,CALLER_30,172,Long wait time,133,Closed,35.0,133
30,31,CALLER_31,161,Unsatisfactory resolution,179,Closed,14.0,179
31,32,CALLER_32,157,Lack of follow-up,157,New,Not provided,157
32,33,CALLER_33,138,Incorrect charges,138,Resolved,Not provided,138
33,34,CALLER_34,142,Product damaged during shipping,140,Closed,27.0,140
34,35,CALLER_35,123,Unauthorized charges,123,Pending,Not provided,123
35,36,CALLER_36,180,Incorrect order,167,Pending,Not provided,167
36,37,CALLER_37,135,Incorrect charges,145,Closed,26.0,145
37,38,CALLER_38,179,Unauthorized charges,143,Pending,Not provided,143
38,39,CALLER_39,129,Rude customer service representative,129,Pending,Not provided,129
39,40,CALLER_40,122,Rude customer service representative,146,New,Not provided,146
40,41,CALLER_41,159,Poor communication,144,Pending,Not provided,144
41,42,CALLER_42,156,Website not working,156,Pending,Not provided,156
42,43,CALLER_43,144,Poor communication,161,Pending,Not provided,161
43,44,CALLER_44,171,Difficulty reaching customer support,177,Resolved,Not provided,177
44,45,CALLER_45,172,Lost package,172,Closed,36.0,172
45,46,CALLER_46,156,Difficulty reaching customer support,141,Closed,38.0,141
46,47,CALLER_47,172,Difficulty cancelling subscription,172,Resolved,Not provided,172
